Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-01-25,32285.79883,34802.74219,32087.78711,32366.39258,32366.39258,59897054838,25
2021-01-26,32358.61328,32794.55078,31030.26563,32569.84961,32569.84961,60255421470,26
2021-01-27,32564.0293,32564.0293,29367.13867,30432.54688,30432.54688,62576762015,27
2021-01-28,30441.04102,31891.30078,30023.20703,31649.60547,31649.60547,78948162368,28
2021-01-29,34318.67188,38406.26172,32064.81445,34316.38672,34316.38672,1.17895E+11,29
2021-01-30,34295.93359,34834.70703,32940.1875,34269.52344,34269.52344,65141828798,30
2021-01-31,34270.87891,34288.33203,32270.17578,33114.35938,33114.35938,52754542671,31
2021-02-01,33114.57813,34638.21484,32384.22852,33537.17578,33537.17578,61400400660,32
2021-02-02,33533.19922,35896.88281,33489.21875,35510.28906,35510.28906,63088585433,33
2021-02-03,35510.82031,37480.1875,35443.98438,37472.08984,37472.08984,61166818159,34
2021-02-04,37475.10547,38592.17578,36317.5,36926.06641,36926.06641,68838074392,35
2021-02-05,36931.54688,38225.90625,36658.76172,38144.30859,38144.30859,58598066402,36
2021-02-06,38138.38672,40846.54688,38138.38672,39266.01172,39266.01172,71326033653,37
2021-02-07,39250.19141,39621.83594,37446.15234,38903.44141,38903.44141,65500641143,38
2021-02-08,38886.82813,46203.92969,38076.32422,46196.46484,46196.46484,1.01467E+11,39
2021-02-09,46184.99219,48003.72266,45166.96094,46481.10547,46481.10547,91809846886,40
2021-02-10,46469.76172,47145.56641,43881.15234,44918.18359,44918.18359,87301089896,41
2021-02-11,44898.71094,48463.46875,44187.76172,47909.33203,47909.33203,81388911810,42
2021-02-12,47877.03516,48745.73438,46424.97656,47504.85156,47504.85156,76555041196,43
2021-02-13,47491.20313,48047.74609,46392.28125,47105.51563,47105.51563,70250456155,44
2021-02-14,47114.50781,49487.64063,47114.50781,48717.28906,48717.28906,71248675228,45
2021-02-15,48696.53516,48875.57031,46347.47656,47945.05859,47945.05859,77069903166,46
2021-02-16,47944.45703,50341.10156,47201.30469,49199.87109,49199.87109,77049582886,47
2021-02-17,49207.27734,52533.91406,49072.37891,52149.00781,52149.00781,80820545404,48
2021-02-18,52140.97266,52474.10547,51015.76563,51679.79688,51679.79688,52054723579,49
2021-02-19,51675.98047,56113.65234,50937.27734,55888.13281,55888.13281,63495496918,50
2021-02-20,55887.33594,57505.22656,54626.55859,56099.51953,56099.51953,68145460026,51
2021-02-21,56068.56641,58330.57031,55672.60938,57539.94531,57539.94531,51897585191,52
2021-02-22,57532.73828,57533.39063,48967.56641,54207.32031,54207.32031,92052420332,53
2021-02-23,54204.92969,54204.92969,45290.58984,48824.42578,48824.42578,1.06102E+11,54
2021-02-24,48835.08594,51290.13672,47213.5,49705.33203,49705.33203,63695521388,55
2021-02-25,49709.08203,51948.96875,47093.85156,47093.85156,47093.85156,54506565949,56
2021-02-26,47180.46484,48370.78516,44454.84375,46339.76172,46339.76172,3.50968E+11,57
2021-02-27,46344.77344,48253.26953,45269.02734,46188.45313,46188.45313,45910946382,58
2021-02-28,46194.01563,46716.42969,43241.61719,45137.76953,45137.76953,53443887451,59
2021-03-01,45159.50391,49784.01563,45115.09375,49631.24219,49631.24219,53891300112,60
2021-03-02,49612.10547,50127.51172,47228.84375,48378.98828,48378.98828,47530897720,61
2021-03-03,48415.81641,52535.13672,48274.32031,50538.24219,50538.24219,53220811975,62
2021-03-04,50522.30469,51735.08984,47656.92969,48561.16797,48561.16797,52343816680,63
2021-03-05,48527.03125,49396.42969,46542.51563,48927.30469,48927.30469,48625928883,64
2021-03-06,48899.23047,49147.21875,47257.52734,48912.38281,48912.38281,34363564661,65
2021-03-07,48918.67969,51384.36719,48918.67969,51206.69141,51206.69141,43137459378,66
2021-03-08,51174.11719,52314.07031,49506.05469,52246.52344,52246.52344,48597428048,67
2021-03-09,52272.96875,54824.11719,51981.83203,54824.11719,54824.11719,50912227385,68
2021-03-10,54824.01172,57258.25391,53290.89063,56008.55078,56008.55078,57295577614,69
2021-03-11,55963.17969,58091.0625,54484.59375,57805.12109,57805.12109,56772343595,70
2021-03-12,57821.21875,57996.62109,55376.64844,57332.08984,57332.08984,55689944702,71
2021-03-13,57343.37109,61683.86328,56217.97266,61243.08594,61243.08594,60669829814,72
2021-03-14,61221.13281,61597.91797,59302.31641,59302.31641,59302.31641,43901225564,73
2021-03-15,59267.42969,60540.99219,55393.16406,55907.19922,55907.19922,66419369890,74
2021-03-16,55840.78516,56833.17969,53555.02734,56804.90234,56804.90234,59749798599,75
2021-03-17,56825.82813,58969.81641,54528.62891,58870.89453,58870.89453,60258313191,76
2021-03-18,58893.07813,60116.25,54253.57813,57858.92188,57858.92188,55746041000,77
2021-03-19,57850.44141,59498.375,56643.70313,58346.65234,58346.65234,49063873786,78
2021-03-20,58332.26172,60031.28516,58213.29688,58313.64453,58313.64453,50361731222,79
2021-03-21,58309.91406,58767.89844,56005.61719,57523.42188,57523.42188,51943414539,80
2021-03-22,57517.89063,58471.48047,54288.15625,54529.14453,54529.14453,56521454974,81
2021-03-23,54511.66016,55985.44141,53470.69531,54738.94531,54738.94531,56435023914,82
2021-03-24,54710.48828,57262.38281,52514.33203,52774.26563,52774.26563,70567223787,83
2021-03-25,52726.74609,53392.38672,50856.57031,51704.16016,51704.16016,67999812841,84
2021-03-26,51683.01172,55137.3125,51579.85547,55137.3125,55137.3125,56652197978,85
2021-03-27,55137.56641,56568.21484,54242.91016,55973.51172,55973.51172,47266542233,86
2021-03-28,55974.94141,56610.3125,55071.11328,55950.74609,55950.74609,47686580918,87
2021-03-29,55947.89844,58342.09766,55139.33984,57750.19922,57750.19922,57625587027,88
2021-03-30,57750.13281,59447.22266,57251.55078,58917.69141,58917.69141,54414116432,89
2021-03-31,58930.27734,59930.02734,57726.41797,58918.83203,58918.83203,65520826225,90
2021-04-01,58926.5625,59586.07031,58505.27734,59095.80859,59095.80859,61669163792,91
2021-04-02,59098.87891,60267.1875,58869.28125,59384.3125,59384.3125,58727860620,92
2021-04-03,59397.41016,60110.26953,57603.89063,57603.89063,57603.89063,59641344484,93
2021-04-04,57604.83984,58913.74609,57168.67578,58758.55469,58758.55469,50749662970,94
2021-04-05,58760.875,59891.29688,57694.82422,59057.87891,59057.87891,60706272115,95
2021-04-06,59171.93359,59479.57813,57646.80859,58192.35938,58192.35938,66058027988,96
2021-04-07,58186.50781,58731.14453,55604.02344,56048.9375,56048.9375,75645303584,97
2021-04-08,56099.91406,58338.73828,55879.08594,58323.95313,58323.95313,53053855641,98
2021-04-09,58326.5625,58937.04688,57807.86328,58245.00391,58245.00391,46655208546,99
2021-04-10,58253.77734,61276.66406,58038.70703,59793.23438,59793.23438,58238470525,100
2021-04-11,59846.23047,60790.55469,59289.79688,60204.96484,60204.96484,46280252580,101
2021-04-12,60175.94531,61253.03516,59589.875,59893.45313,59893.45313,51828688519,102
2021-04-13,59890.01953,63742.28516,59869.95703,63503.45703,63503.45703,69983454362,103
2021-04-14,63523.75391,64863.09766,61554.79688,63109.69531,63109.69531,77451779687,104
2021-04-15,63075.19531,63821.67188,62208.96484,63314.01172,63314.01172,60954381579,105
2021-04-16,63258.50391,63594.72266,60222.53125,61572.78906,61572.78906,84293007468,106
2021-04-17,61529.92188,62572.17578,60361.35156,60683.82031,60683.82031,66138759198,107
2021-04-18,60701.88672,61057.45703,52829.53516,56216.18359,56216.18359,97468872758,108
2021-04-19,56191.58594,57520.05469,54368.59375,55724.26563,55724.26563,65344865159,109
2021-04-20,55681.79297,57062.14844,53448.04688,56473.03125,56473.03125,67849323955,110
2021-04-21,56471.12891,56757.97266,53695.46875,53906.08984,53906.08984,54926612466,111
2021-04-22,53857.10547,55410.23047,50583.8125,51762.27344,51762.27344,74798630778,112
2021-04-23,51739.80859,52120.79297,47714.66406,51093.65234,51093.65234,86668667320,113
2021-04-24,51143.22656,51167.5625,48805.28516,50050.86719,50050.86719,49014494781,114
2021-04-25,50052.83203,50506.01953,47159.48438,49004.25391,49004.25391,46117114240,115
2021-04-26,49077.79297,54288.00391,48852.79688,54021.75391,54021.75391,58284039825,116
2021-04-27,54030.30469,55416.96484,53319.1875,55033.11719,55033.11719,49448222757,117
2021-04-28,55036.63672,56227.20703,53887.91797,54824.70313,54824.70313,48000572955,118
2021-04-29,54858.08984,55115.84375,52418.02734,53555.10938,53555.10938,46088929780,119
2021-04-30,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578,52395931985,120
